Description,1-Day Price Chg %,Market Cap,P/E,ROE %,Div. Yield %,Debt to Equity,Price to Book,Net Profit Margin (mrq),Price To Free Cash Flow (mrq)
Potash of Saskatchewan,-0.16,31.67B,23.647,14.514,NA,46.284,3.54,27.22,92.671
Potash of Saskatchewan,NA,NA,NA,14.514,NA,46.284,NA,27.22,NA
Punjab Chemicals,9.21,1.33B,148.404,NA,NA,NA,NA,0.08,NA
Punjab Chemicals,NA,NA,NA,NA,NA,NA,NA,0.08,NA
Rallis India Ltd.,1.52,46.07B,28.539,NA,NA,10.548,6.416,7.947,NA
Rallis India Ltd.,1.42,45.98B,28.485,NA,NA,10.548,6.404,7.947,NA
Rama Phosphates Ltd,1.61,602.38M,NA,NA,NA,40.976,0.471,-2.596,NA
Rashtriya Chemicals,3.72,30.01B,12.449,9.971,NA,NA,1.205,0.456,NA
Rashtriya Chemicals,3.72,30.01B,12.449,9.971,NA,NA,1.205,0.456,NA
"Rentech Nitrogen Partners, L.P",-2.53,583.96M,NA,-76.654,1.9,2449.48,44.673,-7.855,-28.215
Rosier,2.5,52.28M,17.364,5.903,NA,38.633,1.01,2.21,221.445
Sabero Organics Gujarat Ltd,NA,NA,NA,NA,NA,311.571,NA,4.462,NA
Sabero Organics Gujarat Ltd,0.19,5.23B,16.148,NA,NA,311.571,5.065,4.462,NA
Sacom SpA,1.89,NA,NA,-7.003,NA,NA,NA,NA,NA
Shiva Global Agro Industr,NA,NA,NA,NA,NA,199.714,NA,1.268,NA
Sinofert Holdings Ltd,NA,NA,NA,-6.467,NA,35.736,NA,0.866,NA
Sinofert Holdings Ltd.,-0.83,8.43B,NA,-6.467,NA,35.736,3.909,0.866,NA
Soil Sub Technologies Ltd,NA,0.00M,NA,-91.717,NA,5.736,0,NA,0
Southern Petrochemicals,NA,NA,NA,15.244,NA,NA,NA,NA,NA
Southern Petrochemicals,-1.17,4.31B,11.576,15.244,NA,NA,1.813,NA,NA
"Spur Ventures, Inc.",NA,NA,NA,-3.045,NA,NA,NA,NA,NA
Stonegate Agricom Ltd,7.14,29.14M,NA,-52.045,NA,NA,0.579,NA,-21.995
Stonegate Agricom Ltd,NA,NA,NA,-52.045,NA,NA,NA,NA,NA
Super Crop Safe Ltd,1.76,81.64M,143.069,NA,NA,71.505,1.111,-0.89,NA
Syngenta AG,0.7,25.17B,15.573,17.414,NA,46.821,2.603,16.349,46.128
Syngenta AG,NA,NA,NA,17.414,NA,46.821,NA,16.349,NA
Syngenta AG,-0.44,33.06B,20.451,17.414,3.2,46.821,3.418,16.349,60.578
Teesta Agro Industries Ltd,-4.56,58.09M,6.785,NA,NA,23.987,0.134,2.134,NA
"Terra Nitrogen Company, L.P.",-0.1,2.78B,11.668,116.348,8.1,NA,9.562,35.463,46.354
The Mosaic Company,-0.44,17.89B,89.271,NA,2.1,26.865,1.617,10.179,198.019
The Scotts Miracle-Gro Company,-2.22,3.53B,22.29,21.804,3.3,112.05,4.678,10.901,5.57
Tuticorin Alkali,4.99,108.90M,NA,NA,NA,NA,NA,-3.819,NA
United Phosphorus Ltd,NA,NA,NA,NA,NA,61.805,NA,10.61,NA
United Phosphorus Ltd,NA,NA,NA,NA,NA,61.805,NA,10.61,NA
Western Potash Corporation,-2.67,212.49M,NA,NA,NA,NA,2.967,NA,-37.784
Yongye International Inc,NA,NA,NA,34.226,NA,22.253,NA,14.695,NA
"Yongye International, Inc.",NA,NA,NA,-6.881,NA,62.313,NA,-8.537,NA
Zuari Global Ltd,NA,NA,NA,-0.2,NA,NA,NA,NA,NA
Zuari Global Ltd,NA,NA,NA,-0.2,NA,NA,NA,NA,NA
